feature,importance
housing_burden,0.68937486
total_county_invoice_amount,0.13493906
donation_ratio_lag2,0.06370833
year,0.032523267
donation_ratio_lag1,0.030039018
donation_ratio_lag3,0.02313453
total_county_invoice_count,0.015817696
month_num,0.006839438
price_income_ratio,0.0020648828
month_sin,0.0010252205
month_cos,0.0005336822
industry_label_75,0.0
industry_label_67,0.0
industry_label_76,0.0
industry_label_74,0.0
industry_label_73,0.0
industry_label_72,0.0
industry_label_71,0.0
industry_label_70,0.0
industry_label_7,0.0
industry_label_69,0.0
industry_label_68,0.0
industry_label_60,0.0
industry_label_66,0.0
industry_label_65,0.0
industry_label_63,0.0
industry_label_62,0.0
industry_label_61,0.0
industry_label_78,0.0
industry_label_6,0.0
industry_label_59,0.0
industry_label_58,0.0
industry_label_56,0.0
industry_label_54,0.0
industry_label_77,0.0
industry_label_82,0.0
industry_label_79,0.0
industry_label_90,0.0
carrier_type_label_0,0.0
industry_label_99,0.0
industry_label_98,0.0
industry_label_97,0.0
industry_label_96,0.0
industry_label_95,0.0
industry_label_94,0.0
industry_label_93,0.0
industry_label_92,0.0
industry_label_91,0.0
industry_label_9,0.0
industry_label_8,0.0
industry_label_89,0.0
industry_label_88,0.0
industry_label_87,0.0
industry_label_86,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_52,0.0
industry_label_81,0.0
industry_label_80,0.0
industry_label_53,0.0
industry_label_47,0.0
industry_label_51,0.0
industry_label_15,0.0
industry_label_25,0.0
industry_label_24,0.0
industry_label_23,0.0
industry_label_22,0.0
industry_label_21,0.0
industry_label_2,0.0
industry_label_19,0.0
industry_label_18,0.0
industry_label_17,0.0
industry_label_16,0.0
industry_label_14,0.0
industry_label_27,0.0
industry_label_13,0.0
industry_label_12,0.0
industry_label_11,0.0
industry_label_101,0.0
industry_label_100,0.0
industry_label_10,0.0
industry_label_1,0.0
industry_label_0,0.0
industry_invoice_amount,0.0
industry_invoice_count,0.0
industry_label_26,0.0
industry_label_28,0.0
industry_label_50,0.0
industry_label_4,0.0
industry_label_5,0.0
industry_label_49,0.0
industry_label_48,0.0
industry_label_46,0.0
industry_label_45,0.0
industry_label_44,0.0
industry_label_43,0.0
industry_label_42,0.0
industry_label_41,0.0
industry_label_40,0.0
industry_label_39,0.0
industry_label_29,0.0
industry_label_38,0.0
industry_label_37,0.0
industry_label_36,0.0
industry_label_35,0.0
industry_label_34,0.0
industry_label_33,0.0
industry_label_32,0.0
industry_label_31,0.0
industry_label_30,0.0
industry_label_3,0.0
carrier_type_label_1,0.0
