month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label
2019-01,24771,5613850,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,0,1,0
2019-01,2463,330649,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,0,0,0
2019-01,267,1696076,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,1,1,0
2019-01,143,265877,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,2,1,0
2019-01,171,115949,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,4,0,0
2019-01,64435,77213955,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,4,1,0
2019-01,80,703438,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,6,1,0
2019-01,1087,2506991,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,8,1,0
2019-01,800,3567244,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,9,1,0
2019-01,18,8266,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,9,0,0
2019-01,2674,4043357,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,10,1,0
2019-01,15128,25789701,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,10,0,0
2019-01,4,11800,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,12,0,0
2019-01,1121,1227533,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,12,1,0
2019-01,345,992348,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,19,0,0
2019-01,15,274640,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,19,1,0
2019-01,113,310904042,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,24,1,0
2019-01,3107,4078257,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,29,1,0
2019-01,1666,2183877,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,29,0,0
2019-01,256,489114,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,42,1,0
2019-01,10291,17622026,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,42,0,0
2019-01,83735,157780171,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,44,1,0
2019-01,4329,16924766,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,44,0,0
2019-01,4,78400,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,45,1,0
2019-01,511,308517,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,49,1,0
2019-01,78887,7080380,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,51,1,0
2019-01,130,28020,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,51,0,0
2019-01,7,52563,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,53,1,0
2019-01,71080,34878056,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,60,0,0
2019-01,2950,206093,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,67,1,0
2019-01,671,29976,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,67,0,0
2019-01,680,74511,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,76,1,0
2019-01,10,11764,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,78,1,0
2019-01,49058,36684308,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,79,1,0
2019-01,202,79049,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,79,0,0
2019-01,29833,4872848,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,80,1,0
2019-01,14195,2088858,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,80,0,0
2019-01,16,20739964,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,84,1,0
2019-01,13036,10756995,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,87,1,0
2019-01,3272,709686,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,87,0,0
2019-01,624049,140507277,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,88,0,0
2019-01,5333999,1629004467,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,88,1,0
2019-01,10839,37617667,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,89,1,0
2019-01,360740,200860773,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,89,0,0
