類別,中文名稱,編碼數字
行業別,不動產經營及相關服務業,0
行業別,不動產開發業,1
行業別,人力仲介及供應業,2
行業別,企業總管理機構及管理顧問業,3
行業別,住宿服務業,4
行業別,住宿業,5
行業別,保全及偵探業,6
行業別,保險業,7
行業別,倉儲業,8
行業別,個人及家庭用品維修業,9
行業別,傳播及節目播送業,10
行業別,公共行政及國防；強制性社會安全,11
行業別,其他化學製品製造業,12
行業別,其他專業、科學及技術服務業,13
行業別,其他社會工作服務業,14
行業別,其他製造業,15
行業別,其他運輸工具及其零件製造業,16
行業別,出版業,17
行業別,創作及藝術表演業,18
行業別,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,19
行業別,博弈業,20
行業別,印刷及資料儲存媒體複製業,21
行業別,圖書館、檔案保存、博物館及類似機構,22
行業別,土木工程業,23
行業別,基本金屬製造業,24
行業別,塑膠製品製造業,25
行業別,宗教、職業及類似組織,26
行業別,家具製造業,27
行業別,專門營造業,28
行業別,專門設計服務業,29
行業別,專門設計業,30
行業別,居住型照顧服務業,31
行業別,廢棄物清除、處理及資源回收業,32
行業別,廢棄物清除、處理及資源回收處理業,33
行業別,廢水及污水處理業,34
行業別,廢（污）水處理業,35
行業別,廣告業及市場研究業,36
行業別,廣播、電視節目編排及傳播業,37
行業別,建築、工程服務及技術檢測、分析服務業,38
行業別,建築工程業,39
行業別,建築物及綠化服務業,40
行業別,影片及電視節目業；聲音錄製及音樂發行業,41
行業別,影片服務、聲音錄製及音樂出版業,42
行業別,成衣及服飾品製造業,43
行業別,批發業,44
行業別,教育服務業,45
行業別,教育業,46
行業別,旅行及相關代訂服務業,47
行業別,旅行及相關服務業,48
行業別,木竹製品製造業,49
行業別,未分類其他服務業,50
行業別,林業,51
行業別,機械設備製造業,52
行業別,橡膠製品製造業,53
行業別,水上運輸業,54
行業別,污染整治業,55
行業別,汽車及其零件製造業,56
行業別,法律及會計服務業,57
行業別,漁業,58
行業別,產業用機械設備維修及安裝業,59
行業別,用水供應業,60
行業別,皮革、毛皮及其製品製造業,61
行業別,石油及天然氣礦業,62
行業別,石油及煤製品製造業,63
行業別,砂、石及黏土採取業,64
行業別,砂、石採取及其他礦業,65
行業別,研究發展服務業,66
行業別,租賃業,67
行業別,紙漿、紙及紙製品製造業,68
行業別,紡織業,69
行業別,航空運輸業,70
行業別,菸草製造業,71
行業別,藥品及醫用化學製品製造業,72
行業別,行政支援服務業,73
行業別,證券期貨及其他金融業,74
行業別,證券期貨及金融輔助業,75
行業別,資料處理及資訊供應服務業,76
行業別,資訊服務業,77
行業別,農、牧業,78
行業別,運動、娛樂及休閒服務業,79
行業別,運輸輔助業,80
行業別,郵政及快遞業,81
行業別,醫療保健服務業,82
行業別,醫療保健業,83
行業別,金屬製品製造業,84
行業別,金融中介業,85
行業別,金融服務業,86
行業別,陸上運輸業,87
行業別,零售業,88
行業別,電信業,89
行業別,電力及燃氣供應業,90
行業別,電力設備及配備製造業,91
行業別,電力設備製造業,92
行業別,電子零組件製造業,93
行業別,電腦、電子產品及光學製品製造業,94
行業別,電腦程式設計、諮詢及相關服務業,95
行業別,電腦系統設計服務業,96
行業別,非金屬礦物製品製造業,97
行業別,食品及飼品製造業,98
行業別,食品製造業,99
行業別,飲料製造業,100
行業別,餐飲業,101
行業別,,102
