feature,importance
county_label_2,0.8274666
year,0.08507829
county_label_11,0.061344013
housing_burden,0.009724189
county_label_18,0.0040570423
total_county_invoice_amount,0.003992873
county_label_1,0.0027459827
donation_count_lag3,0.0012922429
donation_count_lag2,0.001144425
total_county_invoice_count,0.000800444
county_label_14,0.00062811875
month_num,0.00061872875
county_label_4,0.00029696914
industry_invoice_count,0.0002663446
county_label_12,8.2907136e-05
county_label_5,6.59917e-05
donation_count_lag1,6.454115e-05
month_sin,5.897295e-05
county_label_7,5.619056e-05
county_label_3,5.2026804e-05
county_label_8,3.4949542e-05
county_label_17,3.1572665e-05
price_income_ratio,2.7058679e-05
county_label_9,1.4591779e-05
month_cos,1.3499275e-05
county_label_16,9.773097e-06
county_label_15,7.710403e-06
county_label_0,6.1887226e-06
county_label_10,4.1294497e-06
industry_invoice_amount,3.5197295e-06
county_label_13,2.7448314e-06
industry_label_60,1.8855288e-06
county_label_6,1.7670546e-06
industry_label_80,1.45975e-06
industry_label_44,9.051058e-07
industry_label_1,2.4075234e-07
industry_label_3,2.3998913e-07
industry_label_63,2.0277655e-07
industry_label_100,9.063273e-08
carrier_type_label_0,8.066129e-08
industry_label_5,7.9449165e-08
industry_label_79,6.370705e-08
industry_label_13,4.949409e-08
industry_label_87,4.3797073e-08
industry_label_72,3.1638223e-08
industry_label_98,2.5426612e-08
industry_label_4,2.2817762e-08
industry_label_94,1.5812269e-08
industry_label_86,1.517207e-08
industry_label_93,1.5138122e-08
industry_label_37,1.3386793e-08
industry_label_62,1.1570932e-08
industry_label_81,1.0295331e-08
industry_label_101,8.6384135e-09
industry_label_0,8.522011e-09
industry_label_10,7.277362e-09
industry_label_88,5.900728e-09
industry_label_42,3.3047411e-09
industry_label_75,2.1959028e-09
industry_label_102,0.0
industry_label_12,0.0
industry_label_14,0.0
industry_label_15,0.0
industry_label_16,0.0
industry_label_11,0.0
industry_label_21,0.0
industry_label_22,0.0
industry_label_23,0.0
industry_label_24,0.0
industry_label_18,0.0
industry_label_19,0.0
industry_label_2,0.0
industry_label_17,0.0
industry_label_41,0.0
industry_label_40,0.0
industry_label_38,0.0
industry_label_39,0.0
industry_label_36,0.0
industry_label_33,0.0
industry_label_34,0.0
industry_label_35,0.0
industry_label_31,0.0
industry_label_30,0.0
industry_label_29,0.0
industry_label_32,0.0
industry_label_25,0.0
industry_label_26,0.0
industry_label_27,0.0
industry_label_28,0.0
industry_label_20,0.0
industry_label_56,0.0
industry_label_55,0.0
industry_label_58,0.0
industry_label_57,0.0
industry_label_46,0.0
industry_label_45,0.0
industry_label_43,0.0
industry_label_50,0.0
industry_label_51,0.0
industry_label_52,0.0
industry_label_53,0.0
industry_label_54,0.0
industry_label_47,0.0
industry_label_48,0.0
industry_label_49,0.0
industry_label_71,0.0
industry_label_70,0.0
industry_label_7,0.0
industry_label_69,0.0
industry_label_68,0.0
industry_label_67,0.0
industry_label_66,0.0
industry_label_65,0.0
industry_label_64,0.0
industry_label_61,0.0
industry_label_59,0.0
industry_label_6,0.0
industry_label_78,0.0
industry_label_77,0.0
industry_label_74,0.0
industry_label_73,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_82,0.0
industry_label_8,0.0
industry_label_76,0.0
industry_label_9,0.0
industry_label_89,0.0
industry_label_92,0.0
industry_label_91,0.0
industry_label_90,0.0
industry_label_95,0.0
industry_label_97,0.0
industry_label_96,0.0
industry_label_99,0.0
carrier_type_label_1,0.0
