feature,mean_abs_shap
year,852884.5
county_label_2,433616.62
county_label_11,103435.016
housing_burden,42266.45
total_county_invoice_amount,33782.188
donation_count_lag1,22069.633
county_label_18,19801.174
total_county_invoice_count,14169.413
county_label_1,13765.614
month_num,12337.33
industry_invoice_count,11433.763
county_label_14,5767.7095
donation_count_lag2,4039.5996
donation_count_lag3,2696.943
month_sin,2418.6887
county_label_4,2087.3093
county_label_8,1983.3318
county_label_0,1916.3494
county_label_15,1731.8188
county_label_6,1702.8885
month_cos,874.3558
county_label_17,748.6459
county_label_3,747.21216
county_label_9,712.86017
county_label_10,615.1739
price_income_ratio,573.9726
county_label_5,477.26624
county_label_12,337.5468
county_label_7,184.09335
county_label_13,182.19588
industry_invoice_amount,125.10264
county_label_16,85.149284
industry_label_80,64.857346
industry_label_98,36.781307
industry_label_44,26.911028
industry_label_60,6.233568
carrier_type_label_1,2.5911474
carrier_type_label_0,1.4599847
industry_label_0,1.3423197
industry_label_62,0.7226694
industry_label_87,0.41666925
industry_label_63,0.07629193
industry_label_1,0.06337397
industry_label_2,0.02483348
industry_label_79,0.0148808
industry_label_13,0.009864385
industry_label_5,0.008074305
industry_label_101,0.0034085962
industry_label_17,0.0
industry_label_12,0.0
industry_label_14,0.0
industry_label_16,0.0
industry_label_15,0.0
industry_label_25,0.0
industry_label_26,0.0
industry_label_27,0.0
industry_label_28,0.0
industry_label_29,0.0
industry_label_3,0.0
industry_label_30,0.0
industry_label_31,0.0
industry_label_32,0.0
industry_label_18,0.0
industry_label_19,0.0
industry_label_20,0.0
industry_label_21,0.0
industry_label_22,0.0
industry_label_23,0.0
industry_label_24,0.0
industry_label_100,0.0
industry_label_102,0.0
industry_label_11,0.0
industry_label_10,0.0
industry_label_42,0.0
industry_label_41,0.0
industry_label_40,0.0
industry_label_4,0.0
industry_label_39,0.0
industry_label_38,0.0
industry_label_37,0.0
industry_label_36,0.0
industry_label_35,0.0
industry_label_34,0.0
industry_label_33,0.0
industry_label_51,0.0
industry_label_50,0.0
industry_label_46,0.0
industry_label_45,0.0
industry_label_43,0.0
industry_label_57,0.0
industry_label_56,0.0
industry_label_55,0.0
industry_label_58,0.0
industry_label_6,0.0
industry_label_59,0.0
industry_label_61,0.0
industry_label_64,0.0
industry_label_65,0.0
industry_label_66,0.0
industry_label_52,0.0
industry_label_53,0.0
industry_label_54,0.0
industry_label_47,0.0
industry_label_48,0.0
industry_label_49,0.0
industry_label_71,0.0
industry_label_70,0.0
industry_label_7,0.0
industry_label_69,0.0
industry_label_68,0.0
industry_label_67,0.0
industry_label_74,0.0
industry_label_72,0.0
industry_label_78,0.0
industry_label_8,0.0
industry_label_81,0.0
industry_label_82,0.0
industry_label_75,0.0
industry_label_76,0.0
industry_label_77,0.0
industry_label_73,0.0
industry_label_86,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_90,0.0
industry_label_88,0.0
industry_label_89,0.0
industry_label_9,0.0
industry_label_93,0.0
industry_label_92,0.0
industry_label_91,0.0
industry_label_94,0.0
industry_label_97,0.0
industry_label_96,0.0
industry_label_95,0.0
industry_label_99,0.0
