feature,importance
housing_burden,0.58248943
industry_entropy,0.3012688
price_income_ratio,0.017600175
donation_count_lag2,0.016193295
donation_count_lag1,0.0159818
donation_count_roll3_mean,0.015634427
top3_industry_share,0.015402286
year,0.009230087
total_county_invoice_count,0.008059395
donation_count_roll3_max,0.004277213
total_county_invoice_amount,0.004033153
month_num,0.0028831318
log_total_county_invoice_count,0.001628797
donation_count_lag3,0.0013855158
donation_count_roll3_min,0.0011934756
log_total_county_invoice_amount,0.0007935773
carrier_usage_ratio,0.00074327615
industry_hhi,0.00048682053
n_active_industries,0.00018783017
month_sin,0.0001564848
top1_industry_share,0.00013736819
row_count_per_county_month,0.00011126026
county_label_18,3.9876595e-05
month_cos,3.0248299e-05
donation_count_roll3_std,2.6900123e-05
county_label_14,9.82765e-06
county_label_3,5.1820516e-06
county_label_17,3.502512e-06
county_label_1,1.7396432e-06
county_label_10,1.7165498e-06
county_label_4,1.1793329e-06
county_label_7,5.6491245e-07
county_label_12,4.27794e-07
county_label_5,3.8327462e-07
county_label_9,3.202569e-07
county_label_16,3.1369018e-07
county_label_8,2.165844e-07
industry_label_91,0.0
industry_label_61,0.0
industry_label_71,0.0
industry_label_70,0.0
industry_label_7,0.0
industry_label_69,0.0
industry_label_68,0.0
industry_label_67,0.0
industry_label_66,0.0
industry_label_65,0.0
industry_label_64,0.0
carrier_type_label_0,0.0
industry_label_63,0.0
industry_label_62,0.0
industry_label_60,0.0
industry_label_92,0.0
industry_label_6,0.0
industry_label_59,0.0
industry_label_58,0.0
industry_label_57,0.0
industry_label_56,0.0
industry_label_55,0.0
industry_label_54,0.0
industry_label_53,0.0
industry_label_52,0.0
industry_label_51,0.0
industry_label_50,0.0
industry_label_5,0.0
industry_label_72,0.0
industry_label_73,0.0
industry_label_74,0.0
industry_label_75,0.0
industry_label_93,0.0
industry_label_94,0.0
industry_label_90,0.0
industry_label_95,0.0
industry_label_96,0.0
industry_label_97,0.0
industry_label_9,0.0
industry_label_98,0.0
industry_label_48,0.0
industry_label_99,0.0
industry_label_89,0.0
industry_label_88,0.0
industry_label_87,0.0
industry_label_86,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_82,0.0
industry_label_81,0.0
industry_label_80,0.0
industry_label_8,0.0
industry_label_79,0.0
industry_label_78,0.0
industry_label_77,0.0
industry_label_76,0.0
industry_label_49,0.0
industry_label_31,0.0
industry_label_47,0.0
industry_label_1,0.0
industry_label_18,0.0
industry_label_17,0.0
industry_label_16,0.0
industry_label_15,0.0
industry_label_14,0.0
industry_label_13,0.0
industry_label_12,0.0
industry_label_11,0.0
industry_label_102,0.0
industry_label_101,0.0
industry_label_100,0.0
industry_label_10,0.0
industry_label_0,0.0
industry_label_46,0.0
county_label_6,0.0
county_label_2,0.0
county_label_15,0.0
county_label_13,0.0
county_label_11,0.0
county_label_0,0.0
log_industry_invoice_amount,0.0
log_industry_invoice_count,0.0
industry_amount_share,0.0
industry_count_share,0.0
industry_invoice_amount,0.0
industry_invoice_count,0.0
industry_label_19,0.0
industry_label_2,0.0
industry_label_20,0.0
industry_label_21,0.0
industry_label_45,0.0
industry_label_44,0.0
industry_label_43,0.0
industry_label_42,0.0
industry_label_41,0.0
industry_label_40,0.0
industry_label_4,0.0
industry_label_39,0.0
industry_label_38,0.0
industry_label_37,0.0
industry_label_36,0.0
industry_label_35,0.0
industry_label_34,0.0
industry_label_33,0.0
industry_label_32,0.0
industry_label_30,0.0
industry_label_3,0.0
industry_label_29,0.0
industry_label_28,0.0
industry_label_27,0.0
industry_label_26,0.0
industry_label_25,0.0
industry_label_24,0.0
industry_label_23,0.0
industry_label_22,0.0
carrier_type_label_1,0.0
