feature,importance
housing_burden,0.5074186
industry_hhi,0.16643687
donation_count_roll3_max,0.10294286
donation_count_lag1,0.05883448
year,0.040243205
top1_industry_share,0.03021419
donation_count_lag2,0.026405927
total_county_invoice_amount,0.02296367
donation_count_roll3_min,0.011158332
total_county_invoice_count,0.009918468
donation_count_lag3,0.00955032
top3_industry_share,0.00472016
month_num,0.00266402
donation_count_roll3_mean,0.0023212258
log_total_county_invoice_count,0.0014017314
carrier_usage_ratio,0.0010091639
log_total_county_invoice_amount,0.0008203652
price_income_ratio,0.000484101
n_active_industries,0.00012874774
industry_entropy,9.8578086e-05
county_label_18,8.067352e-05
row_count_per_county_month,5.600813e-05
month_cos,4.639771e-05
month_sin,3.680478e-05
donation_count_roll3_std,1.9785117e-05
county_label_14,8.873737e-06
county_label_3,6.3117473e-06
county_label_7,2.7701442e-06
county_label_10,2.5862325e-06
county_label_5,1.411086e-06
county_label_17,8.698056e-07
county_label_1,7.818653e-07
county_label_12,7.402251e-07
county_label_9,3.5708234e-07
county_label_16,3.5687222e-07
county_label_11,2.4843538e-07
county_label_4,1.06702025e-07
industry_label_54,0.0
industry_label_5,0.0
industry_label_64,0.0
industry_label_65,0.0
industry_label_66,0.0
industry_label_69,0.0
industry_label_67,0.0
industry_label_68,0.0
industry_label_62,0.0
industry_label_7,0.0
industry_label_70,0.0
industry_label_71,0.0
industry_label_72,0.0
industry_label_63,0.0
industry_label_6,0.0
industry_label_61,0.0
industry_label_60,0.0
industry_label_55,0.0
industry_label_50,0.0
industry_label_59,0.0
industry_label_51,0.0
industry_label_58,0.0
industry_label_52,0.0
industry_label_57,0.0
industry_label_53,0.0
industry_label_56,0.0
industry_label_74,0.0
industry_label_73,0.0
industry_label_9,0.0
industry_label_75,0.0
industry_label_89,0.0
carrier_type_label_0,0.0
industry_label_99,0.0
industry_label_98,0.0
industry_label_97,0.0
industry_label_96,0.0
industry_label_95,0.0
industry_label_94,0.0
industry_label_93,0.0
industry_label_92,0.0
industry_label_91,0.0
industry_label_90,0.0
industry_label_48,0.0
industry_label_88,0.0
industry_label_76,0.0
industry_label_87,0.0
industry_label_86,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_82,0.0
industry_label_81,0.0
industry_label_80,0.0
industry_label_8,0.0
industry_label_79,0.0
industry_label_78,0.0
industry_label_77,0.0
industry_label_49,0.0
industry_label_31,0.0
industry_label_47,0.0
industry_label_1,0.0
industry_label_18,0.0
industry_label_17,0.0
industry_label_16,0.0
industry_label_15,0.0
industry_label_14,0.0
industry_label_13,0.0
industry_label_12,0.0
industry_label_11,0.0
industry_label_102,0.0
industry_label_101,0.0
industry_label_100,0.0
industry_label_10,0.0
industry_label_0,0.0
industry_label_46,0.0
county_label_8,0.0
county_label_6,0.0
county_label_2,0.0
county_label_15,0.0
county_label_13,0.0
county_label_0,0.0
log_industry_invoice_amount,0.0
log_industry_invoice_count,0.0
industry_amount_share,0.0
industry_count_share,0.0
industry_invoice_amount,0.0
industry_invoice_count,0.0
industry_label_19,0.0
industry_label_2,0.0
industry_label_20,0.0
industry_label_21,0.0
industry_label_45,0.0
industry_label_44,0.0
industry_label_43,0.0
industry_label_42,0.0
industry_label_41,0.0
industry_label_40,0.0
industry_label_4,0.0
industry_label_39,0.0
industry_label_38,0.0
industry_label_37,0.0
industry_label_36,0.0
industry_label_35,0.0
industry_label_34,0.0
industry_label_33,0.0
industry_label_32,0.0
industry_label_30,0.0
industry_label_3,0.0
industry_label_29,0.0
industry_label_28,0.0
industry_label_27,0.0
industry_label_26,0.0
industry_label_25,0.0
industry_label_24,0.0
industry_label_23,0.0
industry_label_22,0.0
carrier_type_label_1,0.0
