feature,importance
month_num,0.18840772
time_index,0.10731075
county_label_2,0.10321203
donation_count_roll3_max,0.08548598
row_count_per_county_month,0.08059864
county_label_11,0.06896469
donation_count_lag1,0.031695627
county_label_18,0.03053128
carrier_usage_ratio,0.026891151
county_label_4,0.026797343
county_label_1,0.026663596
n_active_industries,0.023997217
month_sin,0.020681038
county_label_14,0.017266633
county_label_15,0.016385822
county_label_6,0.0155393
donation_count_roll3_mean,0.014896961
county_label_0,0.010343053
donation_count_roll3_min,0.008888465
county_label_8,0.008806974
county_label_12,0.0077764858
county_label_3,0.0071281674
county_label_16,0.0068293707
month_cos,0.0066557494
top1_industry_share,0.0064850682
donation_count_lag2,0.005465549
housing_burden,0.0051313536
county_label_5,0.0043898593
industry_entropy,0.0042837244
county_label_10,0.003892796
price_income_ratio,0.0031706197
donation_count_lag3,0.0030802195
donation_count_roll3_std,0.0028347054
log_total_county_invoice_count,0.0024924423
county_label_17,0.002439242
avg_invoice_value,0.0023241988
log_total_county_invoice_amount,0.002192567
top3_industry_share,0.001964397
total_county_invoice_amount,0.0018206963
industry_hhi,0.001747231
total_county_invoice_count,0.0017362229
county_label_7,0.0013518902
county_label_9,0.0012062108
county_label_13,0.00023698535
