feature,mean_abs_shap
county_label_2,0.34486523
donation_count_roll3_max,0.27253574
county_label_11,0.2202682
row_count_per_county_month,0.17671956
county_label_18,0.16404071
county_label_14,0.14081047
donation_count_lag1,0.13400108
county_label_1,0.12665713
month_num,0.12080967
county_label_4,0.10259629
donation_count_roll3_min,0.08712813
county_label_6,0.078274645
county_label_15,0.07792872
county_label_3,0.0713318
county_label_0,0.07021707
carrier_usage_ratio,0.068987265
n_active_industries,0.061303202
county_label_8,0.045831036
donation_count_lag2,0.0450028
time_index,0.03502751
donation_count_roll3_mean,0.026232675
total_county_invoice_count,0.02485376
county_label_10,0.023601064
month_sin,0.018920211
month_cos,0.018213127
price_income_ratio,0.015575831
county_label_17,0.015118202
avg_invoice_value,0.014163398
industry_entropy,0.010159798
industry_hhi,0.009661081
county_label_5,0.0090663135
donation_count_roll3_std,0.008499854
top1_industry_share,0.00793642
county_label_16,0.007901482
housing_burden,0.0065866597
total_county_invoice_amount,0.006382658
top3_industry_share,0.004897053
log_total_county_invoice_amount,0.0041624946
county_label_9,0.0037013574
log_total_county_invoice_count,0.0035308718
donation_count_lag3,0.0020832014
county_label_7,0.0019420715
county_label_13,0.001019476
county_label_12,0.00053896726
