feature,importance
county_label_2,0.691378675756449
year,0.1428555150760053
county_label_11,0.07412050214760468
donation_count,0.022854968641045924
housing_burden,0.022795824538395754
county_label_18,0.019267276393076068
county_label_7,0.007446541926511493
county_label_17,0.004383267728341196
county_label_14,0.0027321857591858494
county_label_1,0.0022948523406303056
total_county_invoice_amount,0.001562096639730988
county_label_16,0.001494091692051134
total_county_invoice_count,0.0014082954261734472
month_num,0.0012916823080058057
industry_invoice_count,0.0006613873684594737
county_label_0,0.0006438697936811255
county_label_5,0.00045519683177187647
price_income_ratio,0.00042587676641441137
county_label_6,0.00038332948279352474
month_cos,0.00033218599516926457
industry_invoice_amount,0.00022746892087379306
county_label_9,0.00018875976497182914
county_label_4,0.00018517203358580663
month_sin,0.00017614074778379946
county_label_10,0.0001705834548986989
county_label_13,0.0001283376285033083
county_label_15,7.238041993730189e-05
county_label_3,4.032431338750483e-05
county_label_12,1.1776103856073185e-05
county_label_8,1.0366097813880477e-05
industry_label_79,1.0345036337320194e-06
industry_label_44,1.6501975658969573e-08
industry_label_98,4.3566909274235905e-09
industry_label_5,2.5692489423860925e-09
industry_label_60,2.3794490622477992e-09
industry_label_0,1.9191516322221326e-09
industry_label_3,1.868460434280314e-09
industry_label_63,1.6993218885776284e-09
industry_label_80,7.010870667891192e-10
industry_label_99,3.641435670087882e-10
industry_label_81,3.62619422322641e-10
industry_label_50,2.0724345538760333e-10
carrier_type_label_1,1.3051001386422465e-10
industry_label_1,8.501613169835054e-11
carrier_type_label_0,6.71381028964117e-11
industry_label_4,6.577882822715978e-11
industry_label_101,6.298114103959007e-11
industry_label_87,1.9685463493699175e-11
industry_label_100,1.7663614287213267e-11
industry_label_37,7.692902130692197e-12
industry_label_19,4.662624467039081e-12
industry_label_89,3.667799383656529e-12
industry_label_67,3.656296637340494e-12
industry_label_17,8.340863436241604e-13
industry_label_41,5.51663452444846e-13
industry_label_24,2.705623446272938e-14
industry_label_77,0.0
industry_label_76,0.0
industry_label_75,0.0
industry_label_74,0.0
industry_label_73,0.0
industry_label_70,0.0
industry_label_72,0.0
industry_label_71,0.0
industry_label_102,0.0
industry_label_7,0.0
industry_label_69,0.0
industry_label_68,0.0
industry_label_66,0.0
industry_label_65,0.0
industry_label_64,0.0
industry_label_78,0.0
industry_label_82,0.0
industry_label_8,0.0
industry_label_62,0.0
industry_label_10,0.0
industry_label_97,0.0
industry_label_96,0.0
industry_label_95,0.0
industry_label_94,0.0
industry_label_93,0.0
industry_label_92,0.0
industry_label_91,0.0
industry_label_90,0.0
industry_label_9,0.0
industry_label_88,0.0
industry_label_86,0.0
industry_label_85,0.0
industry_label_84,0.0
industry_label_83,0.0
industry_label_11,0.0
industry_label_18,0.0
industry_label_61,0.0
industry_label_29,0.0
industry_label_38,0.0
industry_label_36,0.0
industry_label_35,0.0
industry_label_34,0.0
industry_label_33,0.0
industry_label_32,0.0
industry_label_31,0.0
industry_label_30,0.0
industry_label_28,0.0
industry_label_16,0.0
industry_label_27,0.0
industry_label_26,0.0
industry_label_25,0.0
industry_label_23,0.0
industry_label_22,0.0
industry_label_21,0.0
industry_label_20,0.0
industry_label_2,0.0
industry_label_39,0.0
industry_label_40,0.0
industry_label_12,0.0
industry_label_51,0.0
industry_label_59,0.0
industry_label_58,0.0
industry_label_57,0.0
industry_label_56,0.0
industry_label_55,0.0
industry_label_54,0.0
industry_label_53,0.0
industry_label_52,0.0
industry_label_13,0.0
industry_label_42,0.0
industry_label_14,0.0
industry_label_49,0.0
industry_label_48,0.0
industry_label_47,0.0
industry_label_46,0.0
industry_label_45,0.0
industry_label_15,0.0
industry_label_43,0.0
industry_label_6,0.0
