feature,standardized_coefficient,abs_standardized_coefficient
donation_ratio_lag3,0.0029301744115488595,0.0029301744115488595
avg_invoice_value,-0.002011625689566511,0.002011625689566511
carrier_usage_ratio,0.0011665004989025638,0.0011665004989025638
donation_ratio_roll3,0.0010404074175626834,0.0010404074175626834
donation_seasonal,0.0008635070586435522,0.0008635070586435522
log_total_count,0.0006831084962899658,0.0006831084962899658
industry_hhi,-0.0005099874910933418,0.0005099874910933418
month_cos,-0.00042013992312019545,0.00042013992312019545
county_type=remote,-0.0003645236460308689,0.0003645236460308689
county_type=metropolitan,0.0003150251910701758,0.0003150251910701758
housing_burden,0.0003052888727101373,0.0003052888727101373
n_active_industries,0.00029782663492213804,0.00029782663492213804
log_total_amount,-0.00025230658881935703,0.00025230658881935703
donation_ratio_lag2,0.00012350832190456614,0.00012350832190456614
price_income_ratio,-9.669985879267707e-05,9.669985879267707e-05
donation_ratio_lag1,6.421340968566253e-05,6.421340968566253e-05
county_type=agricultural,4.949845496064941e-05,4.949845496064941e-05
month_sin,-1.7158429469839378e-05,1.7158429469839378e-05
