feature,mean_abs_shap
donation_ratio_lag1,0.0018573704
donation_ratio_lag3,0.00073017034
housing_burden,0.00049225026
donation_ratio_lag2,0.00045866793
donation_ratio_roll3,0.00017563559
log_total_amount,0.00016648135
avg_invoice_value,0.00014505495
donation_seasonal,0.00012460932
month_sin,4.5363544e-05
carrier_usage_ratio,3.98602e-05
month_cos,2.9866576e-05
log_total_count,2.2293887e-05
n_active_industries,2.1868342e-05
price_income_ratio,9.528276e-06
industry_hhi,9.207622e-06
county_type_agricultural,0.0
county_type_metropolitan,0.0
county_type_remote,0.0
